user_id,rule_based_segment,segment_label,assigned_perk,free_hotel_meal_score,free_checked_bag_score,no_cancellation_fees_score,exclusive_discounts_score,free_hotel_night_with_flight_score,max_rule_based_score
532544,no_cancellation_fees,Flexibility-Seeking Travelers,No Cancellation Fees,0.46117454918267003,0.30287682693080864,0.9543181060353452,0.4366708950380975,0.3713632302566157,0.9543181060353452
583070,free_checked_bag,Baggage-Heavy Travelers,Free Checked Bag,0.225909474813726,0.6170542105511932,0.45048349449816605,0.3900259142452296,0.3213395066283843,0.6170542105511932
514638,free_hotel_meal,Hotel-Oriented Users,Free Hotel Meal,0.8517430062731314,0.6910531805524807,0.45048349449816605,0.7887207282896216,0.7360959189306181,0.8517430062731314
477730,free_hotel_night_with_flight,Bundled Travelers,1 Free Hotel Night (with flight),0.8337960099312661,0.5395390476710554,0.45048349449816605,0.8522636982663532,0.8556635525862811,0.8556635525862811
541259,free_hotel_meal,Hotel-Oriented Users,Free Hotel Meal,0.6463029798428767,0.39604763108667657,0.45048349449816605,0.6181065611398611,0.5500960085703861,0.6463029798428767
606635,exclusive_discounts,Price-Sensitive Users,Exclusive Discounts,0.5260763647748039,0.198403791779355,0.45048349449816605,0.6522348052621987,0.5190513485182585,0.6522348052621987
526789,exclusive_discounts,Price-Sensitive Users,Exclusive Discounts,0.4501953550852403,0.5150521505537681,0.45048349449816605,0.6610919410523103,0.39692025576698603,0.6610919410523103
570746,exclusive_discounts,Price-Sensitive Users,Exclusive Discounts,0.5944587630961026,0.6145554590897708,0.45048349449816605,0.7999424333424973,0.33596907737109744,0.7999424333424973
515874,no_cancellation_fees,Flexibility-Seeking Travelers,No Cancellation Fees,0.42006340980948265,0.06843947982660888,0.45048349449816605,0.29011697504458583,0.09303101033677894,0.45048349449816605
546282,exclusive_discounts,Price-Sensitive Users,Exclusive Discounts,0.4034019795156059,0.33052493185467213,0.45048349449816605,0.48680325689501147,0.42779870874944664,0.48680325689501147
552384,free_hotel_night_with_flight,Bundled Travelers,1 Free Hotel Night (with flight),0.5072855139415005,0.6170542105511932,0.45048349449816605,0.44926025587148655,0.6747977084160022,0.6747977084160022
686445,exclusive_discounts,Price-Sensitive Users,Exclusive Discounts,0.3930698772083443,0.06843947982660888,0.45048349449816605,0.5746258440631202,0.14192230743581194,0.5746258440631202
541939,free_hotel_meal,Hotel-Oriented Users,Free Hotel Meal,0.6787969624386924,0.4514819175165594,0.45048349449816605,0.4396116132857692,0.5181735291962263,0.6787969624386924
520539,no_cancellation_fees,Flexibility-Seeking Travelers,No Cancellation Fees,0.8172432222825123,0.6985131905047273,0.9543181060353452,0.41009073532354134,0.7944764902321632,0.9543181060353452
514526,free_hotel_night_with_flight,Bundled Travelers,1 Free Hotel Night (with flight),0.6620068350871016,0.6203295716829004,0.45048349449816605,0.7718181338631633,0.8556635525862811,0.8556635525862811
